"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.488197208E0,5.441690051E-1,3.742793968E-1,-1.883271217E-2,6.607266031E-1
1.498149208E0,4.351384964E-1,3.613330767E-1,-1.645388943E-1,5.890502110E-1
1.508100208E0,2.961913301E-1,3.393925694E-1,-2.101816750E-1,4.970844563E-1
1.518052208E0,2.118218920E-1,3.466802466E-1,-1.115830010E-1,4.213151711E-1
1.528004208E0,1.439572068E-1,3.065934902E-1,-9.812797308E-3,3.388503160E-1
1.537955208E0,1.615940903E-1,1.543138683E-1,-6.926143885E-2,2.339285508E-1
1.547907208E0,2.312839473E-1,2.893699318E-2,-1.989690542E-1,3.064609248E-1
1.557858208E0,2.458754913E-1,1.691190183E-2,-2.777825046E-1,3.713541295E-1
1.567810208E0,1.652977167E-1,4.216193318E-2,-2.038275057E-1,2.657943112E-1
1.577762208E0,4.766646545E-2,1.076092333E-2,-9.270701945E-2,1.047973323E-1
1.587713208E0,-5.170056917E-2,-9.584726661E-2,2.026352584E-2,1.107711959E-1
1.597665208E0,-1.087830253E-1,-2.296248364E-1,-1.471159458E-3,2.540934403E-1
1.607616208E0,-2.514701072E-1,-3.698822907E-1,-1.223325223E-1,4.636974981E-1
1.617568208E0,-4.194384300E-1,-4.816792998E-1,-1.339503551E-1,6.525996032E-1
1.627520208E0,-5.634371156E-1,-5.626202595E-1,-1.532888514E-1,8.108639908E-1
1.637471208E0,-6.300257921E-1,-6.514973527E-1,-1.530654877E-1,9.191356499E-1
1.647423208E0,-6.123491841E-1,-6.435039166E-1,-1.310524750E-1,8.979106666E-1
1.657374208E0,-5.315775013E-1,-5.538868582E-1,-1.021947116E-1,7.744734021E-1
1.667326208E0,-3.790550006E-1,-4.110820645E-1,2.760470510E-3,5.591768749E-1
1.677278208E0,-2.901002491E-1,-2.551491022E-1,3.151122987E-2,3.876237563E-1
1.687229208E0,-2.232054707E-1,-1.957033843E-1,4.518494368E-2,3.002701715E-1
1.697181208E0,-2.130615383E-1,-1.728521731E-1,3.101714015E-2,2.761071456E-1
1.707132208E0,-3.046516299E-1,-1.765701252E-1,7.033615708E-3,3.521918461E-1
1.717084208E0,-4.119871769E-1,-2.473003846E-1,4.472184420E-2,4.825877719E-1
1.727035208E0,-4.781613956E-1,-3.092071956E-1,8.470335066E-2,5.756926851E-1
1.736987208E0,-5.182765475E-1,-3.406646311E-1,5.871189237E-2,6.229847966E-1
1.746939208E0,-5.237692391E-1,-3.637415448E-1,2.634638429E-2,6.382290022E-1
1.756890208E0,-4.496936780E-1,-2.868363333E-1,-9.301165938E-3,5.334660231E-1
1.766842208E0,-2.392553103E-1,-1.219036290E-1,8.384907246E-4,2.685224410E-1
1.776793208E0,4.016255088E-2,5.127277225E-2,1.180348188E-1,1.348115207E-1
1.786745208E0,2.908808889E-1,2.250058284E-1,1.724788284E-1,4.061874698E-1
1.796697208E0,4.459352339E-1,3.310471308E-1,1.033536297E-1,5.649180547E-1
1.806648208E0,5.072254926E-1,3.308117804E-1,1.236645180E-1,6.180671868E-1
1.816600208E0,4.787682635E-1,3.619198447E-1,1.453635353E-1,6.175237498E-1
1.826551208E0,4.558031047E-1,3.901373380E-1,2.339798427E-1,6.439799528E-1
1.836503208E0,4.494878194E-1,4.025483456E-1,3.555095422E-1,7.003367083E-1
1.846455208E0,4.616602972E-1,4.141758263E-1,3.226826888E-1,6.991394444E-1
1.856406208E0,5.139580132E-1,4.216286874E-1,2.437259817E-1,7.080437441E-1
1.866358208E0,5.245497328E-1,4.641844305E-1,1.495530653E-1,7.162302193E-1
1.876309208E0,5.106757884E-1,4.885550407E-1,1.046476185E-2,7.068134831E-1
1.886261208E0,4.877220317E-1,4.501306477E-1,-1.253707355E-1,6.754318630E-1
1.896213208E0,3.993569353E-1,3.845000374E-1,-2.172573906E-1,5.954217114E-1
1.906164208E0,2.835870721E-1,3.215255249E-1,-2.108061576E-1,4.777442063E-1
1.916116208E0,2.397039013E-1,2.549731010E-1,-1.624321425E-1,3.858152971E-1
1.926067208E0,2.674058164E-1,1.635109538E-1,-7.072675109E-2,3.213160064E-1
1.936019208E0,2.469853294E-1,9.348265260E-2,-6.201089144E-2,2.712675983E-1
1.945970208E0,1.509995568E-1,1.573251843E-2,-3.418399215E-2,1.556178769E-1
1.955922208E0,3.788864180E-2,-2.444983989E-2,-1.998929143E-2,4.932459448E-2
1.965874208E0,-9.503918141E-4,-1.037591341E-1,-1.718789041E-2,1.051773965E-1
1.975825208E0,9.949914515E-3,-1.056632799E-1,1.313752413E-2,1.069407502E-1
1.985777208E0,-1.263780646E-2,-2.029714733E-2,7.257505596E-2,7.641221819E-2
1.995728208E0,-4.160659388E-4,2.514302731E-3,6.082449138E-2,6.087785789E-2
2.005680208E0,9.736418054E-3,-4.475224972E-2,9.118148088E-3,4.669799049E-2
2.015632208E0,-1.045993790E-2,-7.452422529E-2,-4.487913430E-2,8.762081460E-2
2.025583208E0,-1.159256550E-1,-6.564522833E-2,-9.803851068E-2,1.654073852E-1
2.035535208E0,-1.949465353E-1,-7.995424211E-2,-1.218185520E-1,2.433856858E-1
2.045486208E0,-1.872448387E-1,-1.034875309E-1,-1.137423778E-1,2.422965686E-1
2.055438208E0,-1.858507528E-1,-9.478482753E-2,-8.215922713E-2,2.242204372E-1
2.065390208E0,-1.306861104E-1,-8.464604795E-2,-7.688036084E-2,1.736502311E-1
2.075341208E0,-1.191402714E-1,-4.835968941E-2,-1.011182392E-1,1.635786115E-1
2.085293208E0,-1.791928573E-1,-7.086182177E-2,-1.637740785E-1,2.528901474E-1
2.095244208E0,-1.766703684E-1,-1.405729115E-1,-1.683407539E-1,2.816234578E-1
2.105196208E0,-1.310350795E-1,-1.763151866E-1,-1.470516264E-1,2.643509371E-1
2.115148208E0,-9.906272359E-2,-1.904531693E-1,-3.805075586E-2,2.180222304E-1
2.125099208E0,-8.052091040E-2,-1.686991882E-1,1.152632385E-1,2.196102167E-1
2.135051208E0,-4.162636478E-2,-1.519241112E-1,2.001209557E-1,2.546803619E-1
2.145002208E0,-5.039726134E-2,-1.699382132E-1,3.073448575E-1,3.547953518E-1
2.154954208E0,-1.195955503E-1,-2.097022033E-1,4.087665671E-1,4.747296242E-1
2.164905208E0,-2.229669043E-1,-2.336795881E-1,4.566312897E-1,5.593143348E-1
2.174858208E0,-3.061479690E-1,-2.618546891E-1,4.320729840E-1,5.907465790E-1
2.184810208E0,-3.026157025E-1,-2.870263678E-1,4.406011480E-1,6.067040224E-1
2.194761208E0,-2.093210379E-1,-2.032588640E-1,3.957535887E-1,4.916811626E-1
2.204713208E0,-1.383977838E-1,-1.008498520E-1,2.514770508E-1,3.042455362E-1
2.214664208E0,-7.627641656E-2,-6.711346418E-2,1.022040671E-1,1.441109993E-1
2.224616208E0,-1.212822162E-2,-1.022093296E-2,-3.650650620E-2,3.980309316E-2
2.234568208E0,4.727733325E-2,8.274716467E-2,-1.856935358E-1,2.087206955E-1
2.244519208E0,8.062557556E-2,1.059161720E-1,-2.198231488E-1,2.569843102E-1
2.254471208E0,-3.506063595E-3,1.161982083E-1,-1.189428914E-1,1.663181515E-1
2.264422208E0,-8.340808276E-2,1.159020469E-1,5.294069052E-3,1.428923368E-1
2.274374208E0,-7.454626199E-2,1.277774495E-1,1.420084029E-1,2.050624497E-1
2.284326208E0,4.781593490E-2,1.527202097E-1,2.637579578E-1,3.085094591E-1
2.294277208E0,1.870548407E-1,2.072317547E-1,3.368510771E-1,4.374964705E-1
2.304229208E0,3.390497398E-1,2.782771790E-1,2.783935386E-1,5.195150400E-1
2.314180208E0,4.594128468E-1,3.539851731E-1,1.327481675E-1,5.949686904E-1
2.324132208E0,5.131844632E-1,4.098772457E-1,4.734432042E-2,6.584824481E-1
2.334083208E0,5.560295339E-1,4.399956688E-1,-1.321763098E-2,7.091824426E-1
2.344035208E0,5.348354602E-1,4.496856746E-1,-1.501138133E-1,7.147029679E-1
2.353987208E0,4.757978048E-1,3.683444729E-1,-2.110534948E-1,6.376556904E-1
2.363938208E0,4.228434099E-1,2.734818774E-1,-2.806593347E-1,5.765054629E-1
2.373890208E0,3.673054593E-1,1.910212263E-1,-3.008883619E-1,5.117970454E-1
2.383841208E0,2.420535319E-1,1.588071612E-1,-1.875038338E-1,3.449163875E-1
2.393793208E0,8.630409904E-2,1.484958887E-1,8.067988157E-3,1.719433596E-1
2.403745208E0,4.960664470E-2,7.839771330E-2,1.499781579E-1,1.763532492E-1
2.413696208E0,4.779152278E-2,2.666125685E-2,2.125310862E-1,2.194636983E-1
2.423648208E0,4.065119538E-2,3.635097027E-2,1.486876774E-1,1.583727822E-1
2.433599208E0,7.046377257E-2,4.436165571E-2,3.948040009E-2,9.215097250E-2
2.443551208E0,1.246046772E-1,4.358806908E-2,-6.092097044E-2,1.453877917E-1
2.453503208E0,1.529492378E-1,1.420648286E-1,-4.691104174E-2,2.139545061E-1
2.463454208E0,1.600290465E-1,2.315129024E-1,7.840472996E-2,2.921554747E-1
2.473406208E0,2.039267622E-1,2.237095007E-1,1.702726740E-1,3.473108817E-1
2.483357208E0,2.131694560E-1,1.849655575E-1,1.806970900E-1,3.351192515E-1
2.493309208E0,1.572340774E-1,1.314898467E-1,1.338597232E-1,2.448071902E-1
2.503261208E0,6.707542073E-2,6.803293884E-2,5.420953631E-2,1.098465596E-1
2.513212208E0,-2.835914209E-2,6.485146880E-3,1.567755461E-2,3.304669104E-2
2.523164208E0,-7.735351022E-2,-5.677266330E-2,-3.303092122E-3,9.600839161E-2
2.533115208E0,-8.437521223E-2,-1.096908420E-1,-1.473498344E-2,1.391703165E-1
2.543067208E0,-4.732352626E-2,-1.197115079E-1,1.593424737E-2,1.297083709E-1
2.553018208E0,-2.448466737E-2,-1.067222106E-1,3.563819468E-2,1.151486435E-1
2.562970208E0,-1.739517421E-2,-1.386889386E-1,-2.348241806E-3,1.397953076E-1
2.572922208E0,-2.552455813E-2,-2.006606537E-1,-1.048990488E-1,2.278596310E-1
2.582873208E0,-7.809720296E-2,-1.895439273E-1,-2.220597088E-1,3.022194365E-1
2.592825208E0,-1.370802965E-1,-1.502243257E-1,-3.575215691E-1,4.113149986E-1
2.602776208E0,-1.069436008E-1,-2.157175264E-1,-4.459367323E-1,5.067845244E-1
2.612728208E0,-1.412973450E-1,-2.396077877E-1,-4.422892392E-1,5.224907681E-1
2.622680208E0,-2.841618534E-1,-2.529987887E-1,-3.607410461E-1,5.242999602E-1
2.632631208E0,-4.023435834E-1,-3.400515506E-1,-2.277297539E-1,5.739131093E-1
2.642583208E0,-4.824593183E-1,-4.005676013E-1,-1.565796643E-1,6.463269980E-1
2.652534208E0,-5.173139861E-1,-4.534387100E-1,-1.060912961E-1,6.960429491E-1
2.662486208E0,-4.503331076E-1,-4.720886967E-1,-2.866480529E-2,6.530614951E-1
2.672438208E0,-3.344501372E-1,-4.051488948E-1,4.430727661E-2,5.272244835E-1
2.682389208E0,-2.660483122E-1,-3.123775560E-1,1.068122578E-1,4.239932786E-1
2.692341208E0,-2.955508408E-1,-2.648312142E-1,2.022522658E-1,4.454120009E-1
2.702292208E0,-3.869182266E-1,-3.015707320E-1,2.371554655E-1,5.448791933E-1
2.712244208E0,-4.824112615E-1,-4.054824784E-1,2.439990467E-1,6.757752588E-1
2.722195208E0,-5.260109520E-1,-4.858980659E-1,2.591608769E-1,7.615437033E-1
2.732147208E0,-5.259213799E-1,-4.712826580E-1,2.521798861E-1,7.498635453E-1
2.742099208E0,-4.013089917E-1,-3.319493562E-1,2.862364089E-1,5.942815526E-1
2.752050208E0,-2.464819937E-1,-1.405153164E-1,3.390841287E-1,4.421266490E-1
2.762002208E0,-1.306850140E-1,-2.260211974E-2,3.434607697E-1,3.681775781E-1
2.771953208E0,-4.629719373E-2,1.152164608E-2,2.594356960E-1,2.637860096E-1
2.781905208E0,7.041838355E-3,2.578914464E-3,1.236118931E-1,1.238391634E-1
2.791857208E0,9.983473878E-2,2.634989262E-2,2.236618459E-2,1.056481809E-1
2.801808208E0,2.057649806E-1,1.107143971E-1,-3.029033124E-2,2.356149595E-1
2.811760208E0,2.282299466E-1,2.208385178E-1,-9.108441710E-2,3.303860326E-1
2.821711208E0,1.906321307E-1,2.891322425E-1,-1.296625918E-1,3.697978510E-1
2.831663208E0,1.700706892E-1,2.994107705E-1,-1.488280106E-1,3.751274791E-1
2.841615208E0,1.889785381E-1,2.548143491E-1,-1.923424047E-1,3.709970903E-1
2.851566208E0,2.164083384E-1,2.348689118E-1,-1.757480067E-1,3.645316674E-1
2.861518208E0,2.817550298E-1,3.102567708E-1,-6.019650042E-2,4.234014399E-1
2.871469208E0,4.806895489E-1,4.183580473E-1,9.966579080E-2,6.449954791E-1
2.881421208E0,6.498945578E-1,5.390252826E-1,1.562873036E-1,8.586832436E-1
2.891372208E0,7.303653283E-1,5.717407465E-1,1.246813488E-1,9.358773599E-1
2.901324208E0,7.169326660E-1,5.969287974E-1,3.484063447E-2,9.335578753E-1
2.911276208E0,6.224682659E-1,5.654070425E-1,-8.819063008E-2,8.455350099E-1
2.921227208E0,5.416354065E-1,4.738653731E-1,-1.622222275E-1,7.377217338E-1
2.931179208E0,4.748693401E-1,4.180838129E-1,-1.313875204E-1,6.461870049E-1
