"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.112124958E0,8.821126344E-1,-1.197896851E0,9.482347763E-1,1.764151002E0
2.122075958E0,8.892851946E-1,-9.662018082E-1,7.065705228E-1,1.491179397E0
2.132026958E0,1.136822611E0,-8.375119007E-1,7.247150177E-1,1.587136947E0
2.141978958E0,1.514982001E0,-7.574885152E-1,9.671493495E-1,1.950471014E0
2.151929958E0,1.820175667E0,-8.099818937E-1,1.282542315E0,2.369393365E0
2.161881958E0,1.916142217E0,-9.441341239E-1,1.467006766E0,2.591350824E0
2.171832958E0,1.808006004E0,-1.108173081E0,1.443681053E0,2.565374879E0
2.181783958E0,1.725804823E0,-1.340364699E0,1.402366381E0,2.596461300E0
2.191735958E0,1.752156762E0,-1.515136221E0,1.409899934E0,2.711735406E0
2.201686958E0,1.654773432E0,-1.661466155E0,1.265293028E0,2.664528353E0
2.211638958E0,1.348783666E0,-1.712735857E0,7.850214458E-1,2.317097358E0
2.221589958E0,1.064378605E0,-1.602785106E0,1.131389451E-1,1.927335553E0
2.231541958E0,9.653027987E-1,-1.532434770E0,-6.241288751E-1,1.915646802E0
2.241492958E0,1.094448058E0,-1.450404912E0,-1.292420016E0,2.229762422E0
2.251443958E0,1.329074749E0,-1.258269645E0,-1.826705838E0,2.585833793E0
2.261395958E0,1.636249160E0,-1.098813589E0,-2.198934324E0,2.952967114E0
2.271346958E0,2.047220858E0,-9.151446520E-1,-2.488525280E0,3.349830003E0
2.281298958E0,2.445600578E0,-6.920343447E-1,-3.050895864E0,3.970873870E0
2.291249958E0,2.577627491E0,-4.873120688E-1,-3.721731713E0,4.553342012E0
2.301200958E0,2.452160277E0,-3.883651932E-1,-4.324722903E0,4.986696876E0
2.311152958E0,2.185551509E0,-3.308420397E-1,-4.809418489E0,5.293070759E0
2.321103958E0,2.047373325E0,-2.158881189E-1,-4.991721810E0,5.399595525E0
2.331054958E0,2.140522832E0,1.911162436E-3,-4.739303357E0,5.200272873E0
2.341006958E0,1.436768328E0,-1.591527316E-1,-4.765303586E0,4.979734038E0
2.350957958E0,1.114332319E0,2.758095809E-1,-4.436038687E0,4.582166155E0
2.360909958E0,1.005361708E0,7.311895665E-1,-3.620476064E0,3.827954712E0
2.370860958E0,1.093163206E0,6.585684637E-1,-2.769639528E0,3.049528051E0
2.380812958E0,9.263347609E-1,4.715134037E-1,-2.112575626E0,2.354441920E0
2.390763958E0,6.846047263E-1,2.382285026E-1,-1.637893397E0,1.791125688E0
2.400714958E0,5.986643972E-1,3.468933776E-1,-1.449198486E0,1.605898604E0
2.410666958E0,4.763633037E-1,6.837710595E-1,-1.356914220E0,1.592382196E0
2.420617958E0,3.208216663E-1,8.982160856E-1,-1.149310582E0,1.493530546E0
2.430569958E0,1.111784468E-1,1.075488461E0,-9.608846426E-1,1.446490710E0
2.440520958E0,-2.835428160E-1,1.319564399E0,-1.114168816E0,1.750148246E0
2.450471958E0,-8.517930671E-1,1.648488260E0,-1.257161306E0,2.241320932E0
2.460423958E0,-1.388504680E0,2.061808638E0,-1.203583853E0,2.761813570E0
2.470374958E0,-1.751737955E0,2.317027176E0,-1.032521805E0,3.082742622E0
2.480326958E0,-1.783395804E0,2.263110732E0,-8.999098778E-1,3.018610370E0
2.490277958E0,-1.705027619E0,2.322092181E0,-8.969061631E-1,3.017229183E0
2.500228958E0,-1.913331753E0,2.580887606E0,-6.655236536E-1,3.280966469E0
2.510180958E0,-2.691484475E0,2.069550206E0,-1.620555818E-2,3.395200929E0
2.520131958E0,-3.262637868E0,1.688018946E0,1.131221636E0,3.843680035E0
2.530083958E0,-3.265563230E0,1.581094275E0,3.031297751E0,4.727846061E0
2.540034958E0,-3.060303157E0,9.576351987E-1,4.869520850E0,5.830502027E0
2.549985958E0,-2.991590479E0,4.309459332E-1,6.000837795E0,6.719031346E0
2.559937958E0,-2.792302459E0,3.841337825E-1,7.271420215E0,7.798593702E0
2.569888958E0,-2.796358380E0,6.025421975E-1,8.462106864E0,8.932520914E0
2.579840958E0,-2.476862716E0,5.843402537E-1,8.533813024E0,8.905182041E0
2.589791958E0,-2.171403001E0,2.509504176E-1,6.784926610E0,7.128337549E0
2.599742958E0,-2.695182254E0,-8.036032393E-1,4.672211235E0,5.453379078E0
2.609695458E0,-4.074055692E0,-2.061694910E0,2.971700006E0,5.447891024E0
2.619646458E0,-5.282016186E0,-1.497376911E0,2.421924325E0,6.000629137E0
2.629598458E0,-4.534002938E0,9.170919210E-3,2.186809537E0,5.033825851E0
2.639549458E0,-2.920385718E0,1.455219364E0,8.472785050E-1,3.371082468E0
2.649500458E0,-1.555765745E0,1.968752979E0,-3.691733158E-1,2.536273700E0
2.659452458E0,-3.852952953E-1,1.094577720E0,1.055829391E0,1.568862185E0
2.669403458E0,8.429732001E-1,7.019674484E-1,7.848670793E-1,1.348843374E0
2.679355458E0,1.617916093E0,4.873980229E-1,-2.135841697E-1,1.703181585E0
2.689306458E0,1.360078879E0,5.261853817E-1,1.434476366E0,2.045582572E0
2.699257458E0,1.026201257E0,5.295391984E-1,2.003895183E0,2.312811425E0
2.709209458E0,9.048665625E-1,5.839058787E-2,5.373889393E-1,1.054030279E0
2.719160458E0,1.084410289E0,-2.038516255E-1,-1.075337457E0,1.540730933E0
2.729112458E0,8.309546869E-1,-9.335850160E-1,-2.085128211E0,2.431013437E0
2.739063458E0,-4.743016851E-1,-7.931540456E-1,-1.754133121E0,1.982684653E0
2.749014458E0,-2.717813902E0,7.873790431E-1,-1.843664517E0,3.377214387E0
2.758966458E0,-2.845880204E0,1.379236697E0,-2.598325465E0,4.092996851E0
2.768917458E0,-2.237571994E0,1.236957275E0,-3.215195607E0,4.107830878E0
2.778869458E0,-1.701953884E0,8.150495294E-1,-3.454634410E0,3.936426256E0
2.788820458E0,-8.318650983E-1,-1.061218478E-1,-3.546572521E0,3.644370732E0
2.798771458E0,5.348228887E-2,-7.008183244E-1,-3.726532862E0,3.792235996E0
2.808723458E0,7.595587950E-1,-1.010336738E0,-3.719317397E0,3.928235201E0
2.818674458E0,1.056606706E0,-1.349273517E0,-4.088673731E0,4.433306851E0
2.828626458E0,6.118373700E-1,-1.313139478E0,-4.919623302E0,5.128486491E0
2.838577458E0,-4.762571036E-1,-9.510578120E-1,-5.453872871E0,5.556623173E0
2.848528458E0,-7.434776364E-1,-1.126120525E0,-5.657385796E0,5.816091512E0
2.858480458E0,2.860907402E-1,-1.863908163E0,-6.000233778E0,6.289579234E0
2.868431458E0,1.010188511E0,-2.061217485E0,-5.805449576E0,6.242783283E0
2.878383458E0,8.398874782E-1,-1.640377294E0,-5.540475982E0,5.838931645E0
2.888334458E0,7.677733290E-1,-9.400852194E-1,-5.343413120E0,5.479534640E0
2.898285458E0,1.265598545E0,-4.378909636E-1,-4.828236583E0,5.010524591E0
2.908237458E0,1.666264672E0,-1.478825158E-1,-3.932852451E0,4.273831489E0
2.918188458E0,1.616753374E0,-2.246316066E-1,-2.418883772E0,2.918107184E0
2.928140458E0,1.402608602E0,-5.162644109E-1,-3.539857578E-1,1.535951090E0
2.938091458E0,1.476409088E0,-9.773919171E-1,1.879310313E0,2.582031373E0
2.948042458E0,1.376093233E0,-1.420564671E0,3.623803715E0,4.128388297E0
2.957994458E0,8.263837722E-1,-1.420214130E0,4.192125009E0,4.502647045E0
2.967945458E0,9.520016988E-1,-1.011309569E0,4.479206341E0,4.689599527E0
2.977897458E0,1.686257326E0,-6.595936999E-1,4.848324108E0,5.175400881E0
2.987848458E0,2.265438947E0,-4.441030455E-1,5.407728984E0,5.879878732E0
2.997799458E0,2.490740498E0,-5.025629228E-1,5.836470809E0,6.365591035E0
3.007751458E0,2.333260362E0,-8.720037487E-1,5.927657552E0,6.429744825E0
3.017702458E0,1.911980169E0,-1.274959353E0,5.699368805E0,6.145241597E0
3.027654458E0,1.781804923E0,-1.584532292E0,5.220036870E0,5.738846251E0
3.037605458E0,1.754623117E0,-1.819955812E0,4.633842975E0,5.278583348E0
3.047556458E0,1.625661168E0,-1.844256840E0,4.250470866E0,4.910250514E0
3.057508458E0,1.604299828E0,-2.222009191E0,3.646751112E0,4.561786542E0
3.067459458E0,3.250502264E-1,-1.209088130E0,3.744565090E0,3.948331226E0
3.077411458E0,6.739863288E-1,-1.560607532E0,3.543403330E0,3.930071322E0
3.087362458E0,4.455820987E-1,-2.163173630E0,2.569130902E0,3.387963570E0
3.097313458E0,5.710390806E-2,-2.000212314E0,1.774555106E0,2.674538462E0
3.107265458E0,4.542324695E-1,-1.837741288E0,1.160611496E0,2.220504272E0
3.117216458E0,6.531389585E-1,-1.822428600E0,7.148150969E-1,2.063685325E0
3.127168458E0,1.140811654E0,-2.332908360E0,1.135205929E0,2.834185094E0
3.137119458E0,5.695193893E-1,-2.041679160E0,8.282212597E-1,2.275688156E0
3.147070458E0,1.032001842E0,-1.595802946E0,-5.305488664E-1,1.973093243E0
