"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.157835708E0,3.061769931E0,2.574179973E0,-2.232306138E-2,4.000166992E0
2.167787708E0,2.782471243E0,1.980650162E0,-9.898283601E-2,3.416858043E0
2.177739708E0,2.514407980E0,1.482746885E0,-1.270711058E-1,2.921803019E0
2.187691708E0,2.294165586E0,1.034518629E0,-5.677602544E-2,2.517269959E0
2.197643708E0,2.054619194E0,6.337025213E-1,1.247931768E-1,2.153743777E0
2.207594708E0,1.738526902E0,3.726342827E-1,2.160147111E-1,1.791087506E0
2.217546708E0,1.118724382E0,-2.114861888E-1,2.251819758E-1,1.160593630E0
2.227498708E0,9.578119308E-1,-4.013704240E-1,8.945378946E-1,1.370656761E0
2.237450708E0,6.807568198E-1,1.245310754E-1,8.922120184E-1,1.129150177E0
2.247401708E0,6.667603397E-1,2.141747385E-1,7.689391176E-1,1.040051699E0
2.257353708E0,4.297083700E-1,1.183663559E-1,6.134517132E-1,7.582762569E-1
2.267305708E0,3.518287200E-1,2.066739303E-1,9.652870113E-1,1.047986916E0
2.277257708E0,1.623046732E-1,3.614742869E-1,1.045056920E0,1.117653986E0
2.287209708E0,-7.431226373E-3,3.923814994E-1,1.020768317E0,1.093611641E0
2.297160708E0,-8.171776235E-2,4.966619128E-1,1.051463714E0,1.165730153E0
2.307112708E0,-4.287353933E-2,4.136565936E-1,1.076210300E0,1.153767103E0
2.317064708E0,7.995365739E-2,3.489746940E-1,1.088790000E0,1.146141173E0
2.327016708E0,1.175939387E-1,2.972110480E-1,1.140107211E0,1.184063847E0
2.336967708E0,1.799714506E-2,1.922470951E-1,1.233796270E0,1.248813869E0
2.346919708E0,-1.879464680E-1,6.886967540E-2,1.431672480E0,1.445597799E0
2.356871708E0,-4.531492728E-1,-1.056270272E-1,1.703419342E0,1.765825243E0
2.366823708E0,-7.736708307E-1,-2.494229239E-1,1.907897497E0,2.073849370E0
2.376775708E0,-1.134965608E0,-3.360026461E-1,2.131378664E0,2.437995020E0
2.386726708E0,-1.461489333E0,-4.982406610E-1,2.315914451E0,2.783460898E0
2.396678708E0,-1.766727439E0,-5.946571541E-1,2.455366305E0,3.082817975E0
2.406630708E0,-2.020341647E0,-8.389134783E-1,2.513465994E0,3.332126573E0
2.416582708E0,-2.209014339E0,-1.079052193E0,2.513933771E0,3.516242453E0
2.426533708E0,-2.402637869E0,-1.240116672E0,2.490183551E0,3.675809054E0
2.436485708E0,-2.637420534E0,-1.360171119E0,2.530829886E0,3.900147748E0
2.446437708E0,-2.887089626E0,-1.396415670E0,2.593371704E0,4.124419962E0
2.456389708E0,-3.143587096E0,-1.433563616E0,2.669794813E0,4.366354178E0
2.466341708E0,-3.325492221E0,-1.586118057E0,2.650742830E0,4.538844187E0
2.476292708E0,-3.476100124E0,-1.811793099E0,2.674757929E0,4.745544888E0
2.486244708E0,-3.642845172E0,-2.045867667E0,2.596041543E0,4.918874582E0
