"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.475185875E0,-6.080039720E-1,1.286958424E0,3.956454737E0,4.204695577E0
1.485137875E0,-8.573868790E-1,1.332983613E0,1.763889785E0,2.371342393E0
1.495089875E0,-7.203733139E-1,1.454586402E0,-1.361062235E-1,1.628890487E0
1.505040875E0,-5.916553397E-1,1.544102012E0,-2.082153148E0,2.658884878E0
1.514992875E0,-1.314740300E0,1.699673616E0,-4.051445094E0,4.586026581E0
1.524944875E0,-2.603400556E0,1.941682270E0,-4.743792849E0,5.749034275E0
1.534896875E0,-3.288384913E0,1.708000343E0,-3.957314862E0,5.421354206E0
1.544847875E0,-3.468450504E0,1.518964539E0,-2.598131338E0,4.592133340E0
1.554799875E0,-3.733618518E0,1.489492233E0,-2.423273277E0,4.693692334E0
1.564751875E0,-4.064657170E0,1.356544676E0,-3.672601068E0,5.643549412E0
1.574702875E0,-4.317293724E0,1.323248291E0,-4.831670653E0,6.613248252E0
1.584654875E0,-3.621468921E0,2.046343045E0,-5.282496827E0,6.723639620E0
1.594606875E0,-2.542242189E0,1.896737063E0,-5.724620590E0,6.544607531E0
1.604558875E0,-2.202883241E0,1.408063908E0,-6.306650097E0,6.827091181E0
1.614509875E0,-2.104252261E0,1.587075538E0,-6.634368408E0,7.138734518E0
1.624461875E0,-2.666694619E0,1.712569065E0,-6.229292019E0,6.989151025E0
1.634413875E0,-2.850930152E0,1.437395296E0,-6.232632533E0,7.002829161E0
1.644364875E0,-2.598486264E0,7.397294980E-1,-7.072399705E0,7.570876315E0
1.654316875E0,-2.837110842E0,6.131837645E-1,-7.618931935E0,8.153116956E0
1.664268875E0,-2.601119265E0,6.127984330E-1,-8.118579437E0,8.547085785E0
1.674220875E0,-1.335041248E0,3.715247735E-1,-8.236744648E0,8.352504307E0
1.684171875E0,-1.094807077E-2,3.844336715E-1,-7.133590817E0,7.143950381E0
1.694123875E0,5.002755652E-1,7.403653827E-1,-5.324611398E0,5.399065019E0
1.704075875E0,4.823599157E-1,9.992359453E-1,-3.813638833E0,3.971773497E0
1.714026875E0,-3.349641075E-1,8.310697308E-1,-2.258580601E0,2.429828015E0
1.723978875E0,-1.530729137E0,7.738480014E-1,-7.976724815E-1,1.891627291E0
1.733930875E0,-2.137091101E0,7.068792558E-1,5.872469777E-1,2.326305154E0
1.743882875E0,-1.914451641E0,5.293539879E-1,1.954719515E0,2.786802668E0
1.753833875E0,-1.249426170E0,5.460252768E-1,2.933545754E0,3.234949775E0
1.763785875E0,-6.071554679E-1,9.387374362E-1,3.312127240E0,3.495719180E0
1.773737875E0,-2.153574841E-1,1.130906471E0,3.331109056E0,3.524431278E0
1.783688875E0,-1.948022553E-1,1.326906309E0,4.524995887E0,4.719556764E0
1.793640875E0,-8.012351169E-1,1.824871859E0,6.850002027E0,7.134049536E0
1.803592875E0,-1.562457152E0,1.872257987E0,8.378875258E0,8.726521238E0
1.813544875E0,-2.111381333E0,1.468223864E0,8.956469067E0,9.318366305E0
1.823495875E0,-2.318388993E0,1.047851158E0,8.794933888E0,9.155532844E0
1.833447875E0,-2.080197839E0,8.449521902E-1,8.166628931E0,8.469651430E0
1.843399875E0,-1.722580083E0,9.067499506E-1,7.640060264E0,7.884161240E0
